"","income","expenses","provinces"
"1",999.483539268083,795.709310504308,"ON"
"2",998.126921723039,801.236032099795,"ON"
"3",1000.19654481093,797.740503653928,"PE"
"4",995.608174694203,803.137846105759,"PE"
"5",996.440384059474,800.658707227228,"ON"
"6",1003.13596203095,802.434347860432,"PE"
"7",1001.39188316139,797.775667499218,"PE"
"8",1000.66109101308,797.453060513442,"ON"
"9",994.702384830214,801.039662330156,"PE"
"10",998.304067833019,801.297552167065,"ON"
"11",1000.89692387641,795.199469371257,"ON"
"12",1000.23410192373,800.911610844157,"ON"
"13",999.528758433006,797.848620482682,"ON"
"14",1000.61825875528,797.447961458509,"ON"
"15",998.911414294004,801.830182337324,"PE"
"16",1001.14402712734,801.91871060143,"PE"
"17",1000.59077819761,802.983766194246,"PE"
"18",998.577786763557,798.067782524725,"PE"
"19",1003.0136921265,799.704878383597,"PE"
"20",998.98154578357,798.812755933109,"PE"
"21",995.832302252509,798.072096870311,"PE"
"22",1000.09860803157,803.745324612157,"PE"
"23",1002.19718559895,800.587783817635,"ON"
"24",1000.03928373194,796.149503817243,"PE"
"25",1001.48748319837,804.488151209181,"PE"
"26",996.008142223777,798.195419394603,"ON"
"27",1000.5650667029,801.417867139689,"ON"
"28",1002.15607263032,801.372918684169,"PE"
"29",1001.17766655532,798.2399364421,"PE"
"30",994.325203064809,802.235620687292,"PE"
"31",994.575377352415,803.181092980841,"PE"
"32",995.339130592842,796.93896188547,"ON"
"33",999.398276545072,803.130726598159,"PE"
"34",1000.13597971214,800.13381800356,"PE"
"35",1001.63724982802,801.577886836406,"PE"
"36",998.858999075292,801.91505049883,"ON"
"37",1003.48587565675,798.302812709545,"PE"
"38",995.806750891549,796.184143875406,"PE"
"39",1000.30520030682,801.92407142112,"PE"
"40",1001.02055625174,800.108493650427,"PE"
"41",1001.32767342143,799.166217098857,"ON"
"42",999.639132416299,800.793129519094,"PE"
"43",999.099717034735,800.894113546173,"PE"
"44",998.553869418354,800.842223147753,"ON"
"45",1000.13667017094,798.338491934422,"PE"
"46",991.706479695004,800.251036000582,"PE"
"47",1000.32126968003,801.639242050509,"PE"
"48",995.216467081721,798.413588643911,"PE"
"49",994.421096251215,797.102470370464,"PE"
"50",998.818407188111,798.40827053105,"PE"
"51",999.864305431552,799.583273049334,"PE"
"52",994.02386070729,797.640657516706,"PE"
"53",1000.25399889953,802.434761435758,"PE"
"54",996.700526404447,800.074728868669,"PE"
"55",996.865504498669,798.740903444635,"PE"
"56",998.489010916603,797.611681075744,"PE"
"57",997.360960951847,801.208858103591,"ON"
"58",1002.76690050747,800.875124624382,"ON"
"59",1001.84054077294,800.927780630176,"PE"
"60",1001.13303756213,799.310192772964,"PE"
"61",1005.94392370884,797.607308618408,"ON"
"62",996.414608034403,794.585055863549,"PE"
"63",1000.78845301498,798.668048007904,"PE"
"64",997.502841362892,801.213095235033,"PE"
"65",997.795379612872,803.597375688731,"ON"
"66",996.497882864086,796.989115485072,"PE"
"67",1006.56039267087,798.335177312307,"ON"
"68",1003.11200063286,801.421707831212,"ON"
"69",998.473474571923,802.707252524336,"ON"
"70",1000.68040385427,801.268397591108,"ON"
"71",1000.74844593317,800.468548925835,"PE"
"72",1003.62583600973,799.910522117958,"PE"
"73",1003.14601736266,800.325379803853,"PE"
"74",1000.01146711153,796.402957613479,"ON"
"75",1001.75445650822,801.416466221744,"ON"
"76",1002.34089539639,800.380887157195,"ON"
